"","date","yn","day","night","dd","month","year"
"477",2016-12-11,0,0,0,0,12,2016
"478",2016-12-12,0,0,0,0,12,2016
"479",2016-12-13,0,0,0,0,12,2016
"480",2016-12-14,0,0,0,0,12,2016
"481",2016-12-15,0,0,0,0,12,2016
"482",2016-12-16,1,0,0,1,12,2016
"483",2016-12-17,0,0,0,0,12,2016
"484",2016-12-18,0,0,0,0,12,2016
"485",2016-12-19,0,0,0,0,12,2016
"486",2016-12-20,1,1,0,0,12,2016
"487",2016-12-21,1,1,0,0,12,2016
"488",2016-12-22,1,1,0,1,12,2016
"489",2016-12-23,1,0,0,1,12,2016
"490",2016-12-24,1,0,0,1,12,2016
"491",2016-12-25,1,1,0,0,12,2016
"492",2016-12-26,0,0,0,0,12,2016
"493",2016-12-27,1,1,0,1,12,2016
"494",2016-12-28,1,1,0,1,12,2016
"495",2016-12-29,1,1,0,1,12,2016
"496",2016-12-30,0,0,0,0,12,2016
"497",2016-12-31,1,1,0,0,12,2016
"498",2017-01-01,1,1,0,1,1,2017
"499",2017-01-02,0,0,0,0,1,2017
"500",2017-01-03,0,0,0,0,1,2017
"501",2017-01-04,0,0,0,0,1,2017
"502",2017-01-05,0,0,0,0,1,2017
"503",2017-01-06,0,0,0,0,1,2017
"504",2017-01-07,0,0,0,0,1,2017
"505",2017-01-08,0,0,0,0,1,2017
"506",2017-01-09,1,1,0,1,1,2017
"507",2017-01-10,1,1,0,1,1,2017
"508",2017-01-11,0,0,0,0,1,2017
"509",2017-01-12,0,0,0,0,1,2017
"510",2017-01-13,1,0,0,1,1,2017
"511",2017-01-14,0,0,0,0,1,2017
"512",2017-01-15,1,1,0,0,1,2017
"513",2017-01-16,1,1,0,0,1,2017
"514",2017-01-17,1,1,0,0,1,2017
"515",2017-01-18,1,1,0,1,1,2017
"516",2017-01-19,0,0,0,0,1,2017
"517",2017-01-20,1,1,0,1,1,2017
"518",2017-01-21,0,0,0,0,1,2017
"519",2017-01-22,0,0,0,0,1,2017
"520",2017-01-23,1,0,0,1,1,2017
"521",2017-01-25,1,1,0,0,1,2017
"522",2017-01-26,1,1,0,1,1,2017
"523",2017-01-27,1,1,0,1,1,2017
"524",2017-01-28,0,0,0,0,1,2017
"525",2017-01-29,0,0,0,0,1,2017
"526",2017-01-30,1,1,0,1,1,2017
"527",2017-01-31,0,0,0,0,1,2017
"528",2017-02-01,0,0,0,0,2,2017
"529",2017-02-02,0,0,0,0,2,2017
"530",2017-02-03,0,0,0,0,2,2017
"531",2017-02-04,0,0,0,0,2,2017
"532",2017-02-05,0,0,0,0,2,2017
"533",2017-02-06,0,0,0,0,2,2017
"534",2017-02-07,0,0,0,0,2,2017
"535",2017-02-08,0,0,0,0,2,2017
"536",2017-02-09,0,0,0,0,2,2017
"537",2017-02-10,1,1,0,0,2,2017
"538",2017-02-11,0,0,0,0,2,2017
"539",2017-02-12,0,0,0,0,2,2017
"540",2017-02-13,0,0,0,0,2,2017
"541",2017-02-14,1,1,0,1,2,2017
"542",2017-02-15,1,1,0,1,2,2017
"543",2017-02-16,1,1,0,0,2,2017
"544",2017-02-17,1,1,0,1,2,2017
"545",2017-02-18,0,0,0,0,2,2017
"546",2017-02-19,1,0,0,1,2,2017
"547",2017-02-20,0,0,0,0,2,2017
"548",2017-02-21,0,0,0,0,2,2017
"549",2017-02-22,1,0,0,1,2,2017
"550",2017-02-23,0,0,0,0,2,2017
"551",2017-02-24,1,1,0,0,2,2017
"552",2017-02-25,1,1,0,1,2,2017
"553",2017-02-26,1,1,0,1,2,2017
"554",2017-02-27,1,1,0,1,2,2017
"555",2017-02-28,1,1,0,0,2,2017
"556",2017-03-01,1,1,0,1,3,2017
"557",2017-03-02,0,0,0,0,3,2017
"558",2017-03-03,1,1,0,0,3,2017
"559",2017-03-04,0,0,0,0,3,2017
"560",2017-03-05,0,0,0,0,3,2017
"561",2017-03-06,0,0,0,0,3,2017
"562",2017-03-07,0,0,0,0,3,2017
"563",2017-03-08,1,1,0,1,3,2017
"564",2017-03-09,1,1,0,0,3,2017
"565",2017-03-10,0,0,0,0,3,2017
"566",2017-03-11,1,1,0,1,3,2017
"567",2017-03-12,1,1,0,0,3,2017
"568",2017-03-13,1,1,0,1,3,2017
"569",2017-03-14,1,1,0,1,3,2017
"570",2017-03-15,1,1,0,1,3,2017
"571",2017-03-16,1,1,0,1,3,2017
"572",2017-03-17,1,1,0,1,3,2017
"573",2017-03-18,1,1,0,1,3,2017
"574",2017-03-19,1,1,0,1,3,2017
"575",2017-03-20,1,0,0,1,3,2017
"576",2017-03-21,1,1,0,0,3,2017
"577",2017-03-22,1,1,0,0,3,2017
"578",2017-03-23,0,0,0,0,3,2017
"579",2017-03-24,0,0,0,0,3,2017
"580",2017-03-25,1,0,0,1,3,2017
"581",2017-03-26,0,0,0,0,3,2017
"582",2017-03-27,0,0,0,0,3,2017
"583",2017-03-28,0,0,0,0,3,2017
"584",2017-03-29,1,0,0,1,3,2017
"585",2017-03-30,0,0,0,0,3,2017
"586",2017-03-31,0,0,0,0,3,2017
"587",2017-04-01,1,1,0,0,4,2017
"588",2017-04-02,0,0,0,0,4,2017
"589",2017-04-03,0,0,0,0,4,2017
"590",2017-04-04,0,0,0,0,4,2017
"591",2017-04-05,0,0,0,0,4,2017
"592",2017-04-06,1,1,0,1,4,2017
"593",2017-04-07,0,0,0,0,4,2017
"594",2017-04-08,1,1,0,0,4,2017
"595",2017-04-09,1,1,0,1,4,2017
"596",2017-04-10,0,0,0,0,4,2017
"597",2017-04-11,1,1,0,1,4,2017
"598",2017-04-12,1,1,0,1,4,2017
